Index,Stock Value,Weighted Average,Sigma,Portfolio Value
0,106.12,106.12,0,100
1,104.95,106.085,0.802499,100
2,105.26,106.06,0.801718,100.03
3,105.8,106.052,0.70568,100.081
4,105.715,106.042,0.647923,100.073
5,106.01,106.041,0.591608,100.101
6,106.67,106.06,0.594252,100.164
7,107.14,106.093,0.667941,100.209
8,107.29,106.128,0.739247,100.223
9,106.98,106.154,0.748377,100.193
10,106.73,106.171,0.733166,100.17
11,106.84,106.191,0.7265,100.18
12,106.695,106.206,0.711029,100.166
13,106.365,106.211,0.686397,100.135
14,107.48,106.249,0.735332,100.241
15,110.28,106.37,1.20927,100.508
16,111.66,106.529,1.71028,100.639
17,112.88,106.719,2.20704,100.756
18,112.9,106.905,2.55075,100.758
19,112.07,107.06,2.72693,100.678
20,112.97,107.237,2.9406,100.764
21,111.83,107.375,3.02593,100.656
22,110.78,107.477,3.0385,100.556
23,111.16,107.588,3.06261,100.592
24,112.275,107.728,3.1355,100.698
25,111.7,107.847,3.16609,100.643
26,111.77,107.965,3.19203,100.65
27,112.67,108.106,3.25101,100.736
28,114,108.283,3.36626,100.862
29,114.08,108.457,3.46525,100.87
30,114.12,108.627,3.5488,100.874
31,114.612,108.806,3.64057,100.921
32,114.504,108.977,3.71182,100.91
33,114.26,109.136,3.76094,100.887
34,113.77,109.275,3.7839,100.84
35,111.67,109.347,3.75102,100.64
36,109.93,109.364,3.70115,100.475
37,110.26,109.391,3.65485,100.506
38,110.19,109.415,3.60982,100.499
39,109.915,109.43,3.56524,100.473
40,109.705,109.438,3.52174,100.453
41,109.205,109.431,3.47973,100.405
42,109.13,109.422,3.43932,100.398
43,109.64,109.429,3.40016,100.447
44,109.68,109.436,3.36237,100.451
45,109.815,109.448,3.32606,100.464
46,109.53,109.45,3.29051,100.436
47,109.715,109.458,3.25626,100.454
48,110.24,109.481,3.22469,100.504
49,110.82,109.522,3.19755,100.559
50,110.34,109.546,3.168,100.514
51,110.91,109.587,3.14275,100.568
52,110.86,109.625,3.11757,100.563
53,110.41,109.649,3.09031,100.52
54,110.67,109.679,3.065,100.545
55,110.55,109.706,3.0396,100.534
56,107.75,109.647,3.02328,100.267
57,109.06,109.629,2.99804,100.392
58,109.62,109.629,2.97252,100.445
59,109.99,109.64,2.94799,100.48
60,110.19,109.656,2.92453,100.499
61,109.87,109.663,2.90097,100.469
62,109.96,109.672,2.87808,100.477
63,109.67,109.672,2.85551,100.45
64,111.95,109.74,2.84669,100.667
65,111.74,109.8,2.83511,100.647
66,111.98,109.865,2.82571,100.67
67,111.94,109.928,2.81545,100.666
68,111.61,109.978,2.80187,100.635
69,112.07,110.041,2.79234,100.678
70,112.53,110.116,2.78737,100.722
71,113.35,110.213,2.79253,100.8
72,113.15,110.301,2.79332,100.781
