SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.238R
DeviceName: Sensoria-C1-08C8
SerialNumber: C510F3DE76F7D46D
Location: 0x0000
Start: 2024-09-01T17:33:12+02:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,1652,0,392,434,446,-0.089844,0.972656,0.046875,-1.120000,-5.600000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.429,
,,1653,20,392,435,449,-0.089844,0.972656,0.046875,-1.120000,-5.600000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.430,
,,1654,40,393,434,447,-0.082031,0.976562,0.003906,1.120000,-3.360000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.515,
,,1655,60,393,435,447,-0.082031,0.976562,0.003906,1.120000,-3.360000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.516,
,,1656,80,391,436,448,-0.082031,0.976562,0.003906,1.120000,-3.360000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.517,
,,1657,100,392,435,448,-0.082031,0.976562,0.003906,1.120000,-3.360000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.517,
,,1658,120,392,434,448,-0.082031,0.976562,0.015625,1.120000,-3.360000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.545,
,,1659,140,390,434,447,-0.082031,0.976562,0.015625,1.120000,-3.360000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.546,
,,1660,160,393,434,447,-0.082031,0.976562,0.015625,1.120000,-3.360000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.575,
,,1661,180,393,434,447,-0.074219,0.976562,0.011719,1.120000,-4.480000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.605,
,,1662,200,392,435,447,-0.074219,0.976562,0.011719,1.120000,-4.480000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.606,
,,1663,220,392,433,447,-0.074219,0.976562,0.011719,1.120000,-4.480000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.635,
,,1664,240,391,433,448,-0.074219,0.976562,0.011719,1.120000,-4.480000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.665,
,,1665,260,392,435,447,-0.101562,0.976562,0.003906,0.000000,-4.480000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.666,
,,1666,280,391,434,447,-0.101562,0.976562,0.003906,0.000000,-4.480000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.695,
,,1667,300,392,434,447,-0.101562,0.976562,0.003906,0.000000,-4.480000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.725,
,,1668,320,391,433,448,-0.101562,0.976562,0.003906,0.000000,-4.480000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.726,
,,1669,340,392,435,448,-0.062500,0.976562,0.027344,-1.120000,-4.480000,-4.480000,0.168192,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:12.755,
