SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.238R
DeviceName: Sensoria-C1-52AB
SerialNumber: C88ED8C159C3D31B
Location: 0x0001
Start: 2024-08-31T17:03:24+02:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,12837,0,443,655,386,-0.097656,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.616704,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:24.606,
,,12838,20,444,655,386,-0.097656,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.639,
,,12839,40,444,654,387,-0.105469,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.639,
,,12840,60,445,654,385,-0.105469,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.664,
,,12841,80,443,655,387,-0.105469,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.694,
,,12842,100,444,654,386,-0.117188,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.694,
,,12843,120,442,654,386,-0.117188,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.724,
,,12844,140,443,654,386,-0.117188,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.757,
,,12845,160,444,653,386,-0.117188,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.757,
,,12846,180,443,655,386,-0.117188,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.784,
,,12847,200,444,654,387,-0.117188,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.814,
,,12848,220,444,654,386,-0.117188,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.814,
,,12849,240,444,654,386,-0.117188,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.844,
,,12850,260,444,656,387,-0.109375,0.972656,0.125000,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:24.874,
