SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.238R
DeviceName: Sensoria-C1-52AB
SerialNumber: C88ED8C159C3D31B
Location: 0x0001
Start: 2024-09-01T17:33:12+02:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,1448,0,460,373,481,0.109375,0.968750,0.078125,-2.240000,-3.360000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.433,
,,1449,20,458,373,482,0.109375,0.968750,0.078125,-2.240000,-3.360000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.433,    
,,1450,40,458,373,482,0.109375,0.968750,0.078125,-2.240000,-3.360000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.463,
,,1451,60,459,373,481,0.089844,0.972656,0.078125,-2.240000,-3.360000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.493,
,,1452,80,459,373,481,0.089844,0.972656,0.078125,-2.240000,-3.360000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.494,
,,1453,100,460,371,482,0.089844,0.972656,0.078125,-2.240000,-3.360000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.528,
,,1454,120,459,372,481,0.089844,0.972656,0.078125,-2.240000,-3.360000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.553,
,,1455,140,458,373,482,0.101562,0.972656,0.082031,-2.240000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.553,
,,1456,160,459,372,483,0.101562,0.972656,0.082031,-2.240000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.583,
,,1457,180,459,374,482,0.101562,0.972656,0.082031,-2.240000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.614,
,,1458,200,458,373,482,0.101562,0.972656,0.082031,-2.240000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.615,
,,1459,220,459,374,483,0.085938,0.972656,0.066406,-2.240000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.642,
,,1460,240,458,373,482,0.085938,0.972656,0.066406,-2.240000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:12.677,
